trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
21736564_2535,08:51:00,08:51:00,9113,1,,0,0
21736564_2535,08:52:00,08:52:00,4664,2,,0,0
21736564_2535,08:52:00,08:52:00,4756,3,,0,0
21736564_2535,08:53:00,08:53:00,4757,4,,0,0
21736564_2535,08:53:00,08:53:00,4758,5,,0,0
21736564_2535,08:54:00,08:54:00,4759,6,,0,0
21736564_2535,08:54:00,08:54:00,4760,7,,0,0
21736564_2535,08:55:00,08:55:00,4761,8,,0,0
21736564_2535,08:55:00,08:55:00,4762,9,,0,0
21736564_2535,08:55:00,08:55:00,4763,10,,0,0
21736564_2535,08:56:00,08:56:00,4764,11,,0,0
21736564_2535,08:56:00,08:56:00,4765,12,,0,0
21736564_2535,08:57:00,08:57:00,4766,13,,0,0
21736564_2535,08:58:00,08:58:00,4767,14,,0,0
21736564_2535,08:58:00,08:58:00,6275,15,,0,0
21736564_2535,08:59:00,08:59:00,6276,16,,0,0
21736564_2535,08:59:00,08:59:00,6277,17,,0,0
21736564_2535,09:00:00,09:00:00,6278,18,,0,0
21736564_2535,09:01:00,09:01:00,6279,19,,0,0
21736564_2535,09:01:00,09:01:00,6280,20,,0,0
21736564_2535,09:02:00,09:02:00,6281,21,,0,0
21736564_2535,09:03:00,09:03:00,6282,22,,0,0
21736564_2535,09:03:00,09:03:00,6283,23,,0,0
21736564_2535,09:04:00,09:04:00,6284,24,,0,0
21736564_2535,09:04:00,09:04:00,6285,25,,0,0
